subject,predicate,object
1/f noise,UF,1f
1/f noise,UF,Pink noise
1/f noise,BT,Noise
1f,USE,1/f noise
2-D displays,USE,Two dimensional displays
2-d hole gas,USE,Two dimensional hole gas
2-D photonic crystals,USE,Photonic crystals
21CN,USE,Next generation networking
21st century networks,USE,Next generation networking
2D displays,USE,Two dimensional displays
2d hole gas,USE,Two dimensional hole gas
2D photonic crystals,USE,Photonic crystals
3-D displays,USE,Three-dimensional displays
3-D modeling,USE,Three-dimensional displays
3-D modelling,USE,Three-dimensional displays
3-D reconstruction,USE,Three-dimensional displays
3D accelerators,USE,Hardware acceleration
3D audio,BT,Audio systems
3D audio,BT,Augmented reality
3D audio,RT,Virtual reality
3D displays,USE,Three-dimensional displays
3D integrated circuits,USE,Three-dimensional integrated circuits
3D integration,USE,Three-dimensional integrated circuits
3D modeling,USE,Three-dimensional displays
3D modelling,USE,Three-dimensional displays
3D printing,USE,Three-dimensional printing
3D reconstruction,USE,Three-dimensional displays
3G,USE,3G mobile communication
3G mobile communication,UF,3G
3G mobile communication,UF,3rd generation mobile communication
3G mobile communication,UF,IMT-2000
3G mobile communication,UF,Third generation mobile communication
3G mobile communication,UF,UMTS
3G mobile communication,UF,Universal mobile telecommunication service
3G mobile communication,BT,Cellular technology
3G mobile communication,BT,Mobile communication
3G mobile communication,RT,4G mobile communication
3G mobile communication,RT,Ambient networks
3G mobile communication,RT,Cellular radio
3G mobile communication,RT,MIMO communication
3G mobile communication,RT,Multiaccess communication
3G mobile communication,RT,Next generation networking
3G mobile communication,RT,OFDM
3G mobile communication,RT,Radio access networks
3G mobile communication,RT,Spread spectrum communication
3G mobile communication,RT,Telecommunication computing
3G mobile communication,RT,Time division synchronous code division multiple access
3G partnership project,USE,3GPP
3GPP,UF,3G partnership project
3GPP,UF,3rd generation partnership project
3GPP,BT,Standards organizations
3GPP,RT,New Radio
3GPP Standards,BT,Standards publications
3GPP Standards,NT,Long Term Evolution
3rd generation mobile communication,USE,3G mobile communication
3rd generation partnership project,USE,3GPP
4G mobile communication,UF,4th generation mobile communication
4G mobile communication,BT,Cellular technology
4G mobile communication,BT,Mobile communication
4G mobile communication,RT,3G mobile communication
4G mobile communication,RT,5G mobile communication
4G mobile communication,RT,Cellular radio
4G mobile communication,RT,Enhanced mobile broadband
4G mobile communication,RT,Long Term Evolution
4G mobile communication,RT,Next generation networking
4G mobile communication,RT,Radio access networks
4G mobile communication,RT,Spread spectrum communication
4G mobile communication,RT,Telecommunication computing
4G mobile communication,RT,Time division synchronous code division multiple access
4K UHD,USE,UHDTV
4th generation mobile communication,USE,4G mobile communication
5G,USE,5G mobile communication
5G mobile communication,UF,5G
5G mobile communication,UF,5th generation mobile systems
5G mobile communication,UF,5th generation systems
5G mobile communication,UF,5th generation wireless systems
5G mobile communication,BT,Cellular technology
5G mobile communication,BT,Mobile communication
5G mobile communication,RT,4G mobile communication
5G mobile communication,RT,6G mobile communication
5G mobile communication,RT,Cellular radio
5G mobile communication,RT,Land mobile radio
5G mobile communication,RT,Next generation networking
5G mobile communication,RT,Tactile Internet
5G mobile communication,RT,Ultra-dense networks
5G mobile communication,NT,Enhanced mobile broadband
5G mobile communication,NT,New Radio
5th generation mobile systems,USE,5G mobile communication
5th generation systems,USE,5G mobile communication
5th generation wireless systems,USE,5G mobile communication
6G mobile communication,BT,Mobile communication
6G mobile communication,RT,5G mobile communication
6G mobile communication,RT,Cellular radio
6G mobile communication,NT,Space-air-ground integrated networks
802.11.00,USE,IEEE 802.11 Standard
802.11ax,USE,IEEE 802.11ax Standard
802.11e,USE,IEEE 802.11e Standard
802.11g,USE,IEEE 802.11g Standard
802.11n,USE,IEEE 802.11n Standard
802.15.00,USE,IEEE 802.15 Standard
802.16.00,USE,IEEE 802.16 Standard
802.3,USE,IEEE 802.3 Standard
8K UHD,USE,UHDTV
09-nov,USE,Terrorism
9/11 attack,USE,Terrorism
911 attack,USE,Terrorism
A/D,USE,Analog-digital conversion
A/D conversion,USE,Analog-digital conversion
A/D converter,USE,Analog-digital conversion
AAL,USE,Ambient assisted living
ABC algorithms,USE,Artificial bee colony algorithm
Abdomen,BT,Body regions
Abrasive water jet cutting,USE,Water jet cutting
Abrasives,BT,Production materials
Absorption,BT,Materials science and technology
Absorption,RT,Semiconductor detectors
Abstract algebra,BT,Algebra
Abstract algebra,NT,Galois fields
Abstract algebra,NT,Modules (abstract algebra)
Abstracts,BT,Writing
Abstracts,RT,Information retrieval
Abstracts,RT,Information services
AC generators,UF,Alternating current generators
AC generators,BT,Generators
AC generators,RT,Pulse width modulation
AC generators,NT,Induction generators
AC generators,NT,Synchronous generators
AC llght emitting diode lamps,USE,LED lamps
AC machines,UF,Alternating current machines
AC machines,BT,Electric machines
AC machines,RT,AC-AC converters
AC machines,RT,Pulse width modulation
AC machines,RT,Sensorless control
AC machines,RT,Windings
AC machines,NT,AC motors
AC machines,NT,Induction machines
AC machines,NT,Synchronous machines
AC motors,UF,Alternating current motors
AC motors,BT,AC machines
AC motors,BT,Motors
AC motors,RT,Pulse width modulation
AC motors,RT,Pulse width modulation inverters
AC motors,RT,Space vector pulse width modulation
AC motors,NT,Hysteresis motors
AC motors,NT,Induction motors
AC-AC converters,UF,AC-AC convertors
AC-AC converters,UF,AC-AC power conversion
AC-AC converters,BT,Converters
AC-AC converters,BT,Power conversion
AC-AC converters,RT,AC machines
AC-AC convertors,USE,AC-AC converters
AC-AC power conversion,USE,AC-AC converters
AC-DC power converters,UF,AC-DC power convertors
AC-DC power converters,UF,AC/DC power converters
AC-DC power converters,UF,Analog-to-digital convertor
AC-DC power converters,BT,Power conversion
AC-DC power converters,RT,Machine vector control
AC-DC power converters,RT,Pulse width modulation inverters
AC-DC power converters,RT,Voltage multipliers
AC-DC power converters,RT,Voltage-source converters
AC-DC power converters,NT,Rectifying circuits
AC-DC power convertors,USE,AC-DC power converters
AC-LED lamps,USE,LED lamps
AC/DC power converters,USE,AC-DC power converters
Accelerated aging,BT,Aging
Accelerated aging,BT,Materials testing
Accelerated computing,USE,Hardware acceleration
Accelerated testing,USE,Life estimation
Acceleration measurement,USE,Accelerometers
Accelerator architectures,BT,Computer architecture
Accelerator beams,USE,Particle beams
Accelerator magnets,BT,Magnetic devices
Accelerator magnets,BT,Particle accelerators
Accelerometers,UF,Acceleration measurement
Accelerometers,BT,Measurement
Accelerometers,RT,Fall detection
Access charges,BT,Economics
Access charges,BT,Multiaccess communication
Access control,BT,Security
Access control,RT,Biometrics (access control)
Access control,RT,Building services
Access control,RT,Capability-based security
Access control,RT,Communication system security
Access control,RT,Computer security
Access control,RT,Identification of persons
Access control,RT,Smart cards
Access control,RT,Trust management
Access control,NT,Accesslists
Access control,NT,Authorization
Access control,NT,Blocklists
Access control,NT,Multi-factor authentication
Access control,NT,Passwords
Access lists,USE,Accesslists
Access point base station,USE,Femtocell networks
Access protocols,BT,Protocols
Access protocols,RT,CAPTCHAs
Access protocols,NT,Media Access Protocol
Access protocols,NT,NOMA
Access rights,USE,Permission
Accesslists,UF,Access lists
Accesslists,UF,Allow lists
Accesslists,BT,Access control
Accesslists,BT,Information filters
Accident prevention,BT,Industry applications
Accident prevention,RT,Explosion protection
Accident prevention,RT,Preventive maintenance
Accident prevention,RT,Risk analysis
Accident prevention,RT,Safety devices
Accident prevention,NT,Accidents
Accidents,BT,Accident prevention
Accidents,RT,Domestic safety
Accidents,RT,Electric shock
Accidents,RT,Emergency services
Accidents,RT,Explosions
Accidents,RT,Fires
Accidents,RT,Hazardous areas
Accidents,RT,Occupational health
Accidents,RT,Occupational safety
Accidents,RT,Oil pollution
Accidents,RT,Product safety
Accidents,RT,Risk analysis
Accidents,NT,Aerospace accidents
Accidents,NT,Electrical accidents
Accidents,NT,Industrial accidents
Accidents,NT,Marine accidents
Accidents,NT,Railway accidents
Accidents,NT,Road accidents
Accreditation,BT,Educational programs
Accreditation,RT,Conformance testing
Accreditation,RT,Training
Accuracy,BT,Mathematics
Acoustic applications,UF,Ultrasonic applications
Acoustic applications,BT,Acoustics
Acoustic applications,RT,Acoustic measurements
Acoustic applications,RT,Biomedical acoustics
Acoustic applications,NT,Acoustic communication (telecommunication)
Acoustic applications,NT,Acoustic imaging
Acoustic applications,NT,Acoustic testing
Acoustic arrays,BT,Acoustic transducers
Acoustic arrays,RT,Acoustic signal processing
Acoustic arrays,RT,Array signal processing
Acoustic arrays,RT,Sonar
Acoustic beams,BT,Beams
Acoustic communication (telecommunication),BT,Acoustic applications
Acoustic communication (telecommunication),BT,Telecommunication services
Acoustic communication (telecommunication),RT,Mobile communication
Acoustic communication (telecommunication),RT,OFDM
Acoustic communication (telecommunication),RT,Wireless networks
Acoustic devices,UF,Ultrasonic devices
Acoustic devices,BT,Acoustics
Acoustic devices,RT,Piezoelectric devices
Acoustic devices,NT,Acoustic waveguides
Acoustic devices,NT,Acousto-optical devices
Acoustic devices,NT,Acoustoelectric devices
Acoustic devices,NT,Bulk acoustic wave devices
Acoustic devices,NT,Film bulk acoustic resonators
Acoustic devices,NT,Surface acoustic wave devices
Acoustic diffraction,BT,Acoustic propagation
Acoustic distortion,BT,Distortion
Acoustic distortion,RT,Acoustic noise
Acoustic distortion,RT,Acoustic signal processing
Acoustic distortion,RT,Loudspeakers
Acoustic distortion,RT,Nonlinear acoustics
Acoustic distortion measurement,USE,Distortion measurement
Acoustic emission,BT,Acoustics
Acoustic emission,RT,Acoustic noise
Acoustic emission,RT,Acoustic testing
Acoustic emission,RT,Nondestructive testing
Acoustic field,BT,Acoustics
Acoustic imaging,BT,Acoustic applications
Acoustic imaging,RT,Acoustic testing
Acoustic imaging,RT,Oceanographic techniques
Acoustic materials,BT,Materials
Acoustic materials,RT,Piezoelectric materials
Acoustic measurements,BT,Measurement
Acoustic measurements,RT,Acoustic applications
Acoustic measurements,RT,Acoustic testing
Acoustic measurements,RT,Anechoic chambers
Acoustic measurements,RT,Biomedical acoustics
Acoustic measurements,RT,Frequency measurement
Acoustic measurements,RT,Phase measurement
Acoustic measurements,RT,Seismic measurements
Acoustic measurements,RT,Wavelength measurement
Acoustic noise,UF,Audible noise
Acoustic noise,UF,Audio restoration
Acoustic noise,BT,Acoustics
Acoustic noise,RT,Acoustic distortion
Acoustic noise,RT,Acoustic emission
Acoustic noise,RT,Acoustic signal detection
Acoustic noise,RT,Environmental factors
Acoustic noise,RT,Mechanical factors
Acoustic noise,RT,Vibrations
Acoustic noise,NT,Background noise
Acoustic noise,NT,Noise cancellation
Acoustic noise,NT,Noise level
Acoustic noise,NT,Noise reduction
Acoustic noise,NT,Working environment noise
Acoustic phonetics,BT,Acoustics
Acoustic phonetics,BT,Phonetics
Acoustic propagation,BT,Acoustics
Acoustic propagation,RT,Acoustic pulses
Acoustic propagation,RT,Waves
Acoustic propagation,NT,Acoustic diffraction
Acoustic pulses,BT,Acoustics
Acoustic pulses,RT,Acoustic propagation
Acoustic reflection,BT,Reflection
Acoustic reflection,RT,Acoustic scattering
Acoustic refraction,BT,Acoustic waves
Acoustic scattering,BT,Scattering
Acoustic scattering,RT,Acoustic reflection
Acoustic scattering,RT,Waves
Acoustic sensors,BT,Sensors
Acoustic signal detection,BT,Signal detection
Acoustic signal detection,RT,Acoustic noise
Acoustic signal detection,NT,Sonar detection
Acoustic signal processing,BT,Signal processing
Acoustic signal processing,RT,Acoustic arrays
Acoustic signal processing,RT,Acoustic distortion
Acoustic signal processing,RT,Acoustic transducers
Acoustic signal processing,NT,Active noise reduction
Acoustic signal processing,NT,Speech processing
Acoustic surface waves,USE,Surface acoustic waves
Acoustic testing,BT,Acoustic applications
Acoustic testing,BT,Materials testing
Acoustic testing,RT,Acoustic emission
Acoustic testing,RT,Acoustic imaging
Acoustic testing,RT,Acoustic measurements
Acoustic testing,RT,Photoacoustic effects
Acoustic transducers,BT,Transducers
Acoustic transducers,RT,Acoustic signal processing
Acoustic transducers,RT,Array signal processing
Acoustic transducers,NT,Acoustic arrays
Acoustic waveguides,BT,Acoustic devices
Acoustic waves,BT,Acoustics
Acoustic waves,RT,Seismic waves
Acoustic waves,NT,Acoustic refraction
Acoustic waves,NT,Acoustoelectric effects
Acoustic waves,NT,Surface acoustic waves
Acoustical engineering,BT,Engineering - general
Acoustics,UF,Ultrasonics
Acoustics,BT,Music
Acoustics,BT,Physics
Acoustics,RT,Acoustoelectric effects
Acoustics,RT,Fourier transforms
Acoustics,RT,Magnetoacoustic effects
Acoustics,RT,Phonons
Acoustics,RT,Resonators
Acoustics,RT,Vibrations
Acoustics,NT,Acoustic applications
Acoustics,NT,Acoustic devices
Acoustics,NT,Acoustic emission
Acoustics,NT,Acoustic field
Acoustics,NT,Acoustic noise
Acoustics,NT,Acoustic phonetics
Acoustics,NT,Acoustic propagation
Acoustics,NT,Acoustic pulses
Acoustics,NT,Acoustic waves
Acoustics,NT,Acoustooptic effects
Acoustics,NT,Biomedical acoustics
Acoustics,NT,Cepstral analysis
Acoustics,NT,Nonlinear acoustics
Acoustics,NT,Psychoacoustics
Acoustics,NT,Reverberation
Acoustics,NT,Spectral shape
Acoustics,NT,Underwater acoustics
Acousto-optic devices,USE,Acousto-optical devices
Acousto-optical devices,UF,Acousto-optic devices
Acousto-optical devices,UF,Acoustooptic devices
Acousto-optical devices,BT,Acoustic devices
Acousto-optical devices,RT,Acoustooptic effects
